question,answer
How do I delete an existing configuration or secret?,"To delete an existing configuration or secret in Choreo, you can follow these steps:\n\n1. In the **Component Listing** pane, click on the component for which you want to delete configurations and secrets.\n2. In the left navigation menu, click **DevOps** and then select **Configs & Secrets**.\n3. Locate the configuration or secret you wish to delete and click the delete icon next to it.\n4. You will be prompted to enter the name of the configuration or secret to confirm the deletion.\n5. After entering the name, click **Delete** to proceed.\n\nThis process allows you to manage the configurations and secrets associated with your component effectively. \n\nFor more details, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-configurations-and-secrets/#delete-an-existing-configuration-or-secret)."
Can I create a custom continuous deployment pipeline in Choreo?,"Yes, users can create custom continuous deployment pipelines in Choreo. Here are the steps and requirements to do so:\n\n### Prerequisites\n- To create a new continuous deployment pipeline in your organization, you must have the `ENVIRONMENT-MANAGEMENT` permission. This permission is typically granted to users with the Admin, Choreo Platform Engineer, and Choreo DevOps roles.\n\n### Steps to Create a New Continuous Deployment Pipeline\n1. **Select Your Organization**:\n   - In the Choreo Console, go to the top navigation menu and click on **Organization**. Then select your organization.\n\n2. **Navigate to CD Pipelines**:\n   - In the left navigation menu, click on **DevOps** and then select **CD Pipelines**.\n\n3. **Create a New Pipeline**:\n   - On the **CD Pipelines** page, click on **+ Create Pipeline**.\n   - You will need to specify the following details:\n     - **Name**: Enter a display name for the new pipeline.\n     - **Mark as Default**: Select this option if you want to make this pipeline the default for all new projects.\n\n4. **Add Environments**:\n   - Click on **+ Add Environment** and add the required environments for the pipeline in your preferred sequence.\n\n5. **Create the Pipeline**:\n   - After specifying all the necessary details, click on **Create** to finalize the new continuous deployment pipeline.\n\n### Additional Information\n- By default, all organizations in Choreo are provisioned with a default continuous deployment pipeline. You can customize the sequence in which environments are applied to projects by creating additional pipelines.\n\nFor more detailed information, you can refer to the [Choreo Documentation on Managing Continuous Deployment Pipelines](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-continuous-deployment-pipelines/#create-a-new-continuous-deployment-pipeline)."
How do I add a continuous deployment pipeline to a project?,"To add a continuous deployment pipeline to a project in Choreo, you need to follow these steps:\n\n### Prerequisites\n- Ensure you have either the `ENVIRONMENT-MANAGEMENT` or `PROJECT-MANAGEMENT` permission. These permissions are typically granted to roles such as Admin, Choreo Platform Engineer, Choreo DevOps, and Project Admin.\n\n### Steps to Add a Continuous Deployment Pipeline\n1. In the Choreo Console, navigate to the top navigation menu and click on **Organization**. Select your organization from the dropdown.\n2. Click on the project to which you want to add the pipeline.\n3. In the left navigation menu, click on **DevOps**, and then select **CD Pipelines**.\n4. Click on **+ Add** and choose the pipelines you wish to add to the project from the available options.\n5. Finally, click **Add** to finalize the addition of the pipeline.\n\nThis process allows you to integrate a continuous deployment pipeline into your project, facilitating streamlined deployments.\n\nFor more detailed information, you can refer to the [Choreo documentation on adding a continuous deployment pipeline to a project](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-continuous-deployment-pipelines/#add-a-continuous-deployment-pipeline-to-a-project)."
How do I change the default continuous deployment pipeline of a project?,"To change the default continuous deployment pipeline of a project in Choreo, you need to follow these steps:\n\n### Prerequisites\nEnsure you have either the `ENVIRONMENT-MANAGEMENT` or `PROJECT-MANAGEMENT` permission to make this change. Typically, the `ENVIRONMENT-MANAGEMENT` permission is granted to Admin, Choreo Platform Engineer, and Choreo DevOps roles, while the `PROJECT-MANAGEMENT` permission is granted to Admin, Choreo DevOps, and Project Admin roles.\n\n### Steps to Change the Default Pipeline\n1. In the Choreo Console, go to the top navigation menu and click **Organization**. Then select your organization.\n2. Click on the project for which you want to change the default pipeline.\n3. In the left navigation menu, click **DevOps**, then select **CD Pipelines**.\n4. Find the pipeline you wish to set as the default and click **Set as Default** next to it. This will open a confirmation dialog detailing the implications of this change.\n5. Click **Confirm** to finalize the change.\n\n### Important Note\nThe default continuous deployment pipeline is set separately at both the organization and project levels. When a project is created, it inherits the organization's default pipeline. Changing the project's default pipeline will affect the default promotion order for its components on the Deploy page.\n\nFor further details, you can refer to the [Choreo documentation on managing continuous deployment pipelines](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-continuous-deployment-pipelines/#change-default-continuous-deployment-pipeline-of-a-project)."
How do I delete an environment in Choreo?,"To delete an environment in Choreo, you can follow these steps:\n\n1. In the Choreo Console, go to the top navigation menu and click **Organization**, then select your organization.\n2. In the left navigation menu, click **DevOps** and then click **Environments**.\n3. In the **Environments** list, locate the environment you want to delete and click the delete icon next to it. This will display a confirmation dialog detailing the impact of the deletion.\n4. Review the information provided in the confirmation dialog, then type the name of the environment to confirm the deletion.\n5. Click **Delete** to finalize the deletion.\n\n**Important Note:** Deleting an environment is a permanent, non-reversible operation, so ensure that you are certain about this action before proceeding.\n\nFor more details, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-environments/#delete-an-environment)."
What are the different types of volume mounts available in Choreo?,"In Choreo, there are three types of volume mounts available for your components, each serving different purposes:\n\n1. **Empty Directory (In-Memory)**: \n   - This is a fast, temporary in-memory storage location, which is also referred to as tmpfs. \n   - It is erased when the attached container is restarted or removed.\n   - This type of volume is available on all data planes and is useful for creating a scratch space for temporary file writing.\n\n2. **Empty Directory (Disk)**: \n   - This provides a temporary storage location on disk.\n   - Similar to the in-memory option, it gets destroyed when the attached container is restarted or removed.\n   - However, it is only available on private data planes.\n\n3. **Persistent Volume**: \n   - This is a permanent storage location that persists even if the attached container is restarted or removed.\n   - Persistent volumes are only available on private data planes and are suitable for storing data that needs to be retained across container restarts.\n\n### How to Use Volume Mounts:\n- **Temporary Storage**: You can create temporary storage using either the in-memory or disk empty directory mounts to write files temporarily—like for unzipping files or caching results. This storage is not suitable for long-term data retention since it is lost when the container is restarted.\n  \n- **Persistent Storage**: If you need to store data permanently, you should use a persistent volume. This is especially important for databases or applications where data integrity and availability are crucial.\n\n### Creating Volume Mounts:\nYou can create these volume mounts in the Choreo console by navigating to the **DevOps** section of your component and following the steps based on the type of volume you want to create. \n\nFor detailed steps on creating temporary or persistent storage, you can refer to the following documentation links:\n- [Volume Mount Types](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-storage/#volume-mount-types)\n- [Create a Temporary Storage Space](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-storage/#create-a-temporary-storage-space-for-your-container)\n- [Create a Persistent Storage Space](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-storage/#create-a-persistent-storage-space-for-your-container)"
How do I create a persistent storage space for my container?,"To create a persistent storage space for your container in Choreo, follow these steps:\n\n1. In the **Component Listing** pane, select the component for which you want to create persistent storage.\n2. Navigate to the left menu and click on **DevOps**, then select **Storage**.\n3. Click on **+ Create** to start the creation process.\n4. In the **Create a Volume Mount** pane, specify a name for the volume and choose **Persistent Volume** from the options.\n5. Select a **Storage Class** that fits your needs.\n6. Adjust the **Storage Capacity** slider to set the desired capacity for the volume.\n7. Choose an appropriate **Access Mode**. It's important to check the cloud provider documentation to ensure that the selected access mode is supported by the storage class, as Choreo does not verify this compatibility.\n8. Click **Next** to continue.\n9. To specify where to mount this storage, enter a **Mount Path** and click **Add mount**. Note that you can add multiple mount locations if needed, and the paths must be absolute file paths.\n10. Finally, click **Create** to apply the volume immediately to your container.\n\nPlease note that persistent volume options are only available in private data plane organizations.\n\nFor more detailed information, you can refer to the documentation: [Create a persistent storage space for your container](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-storage/#create-a-persistent-storage-space-for-your-container)."
How do I configure a VPN using Tailscale in Choreo?,"To configure a VPN using Tailscale within Choreo, you can follow these specific steps outlined in the documentation. Choreo provides a prebuilt Tailscale image component that acts as a forward proxy, allowing secure peer-to-peer connections to private networks through Tailscale’s WireGuard network.\n\n### Steps to Configure Tailscale in Choreo\n\n#### 1. **Create a Tailscale Project**\n   - **Create a Project**: In your Choreo console, create a new project that will host your Tailscale proxy.\n     - Click on **+ Create Project**.\n     - Fill in the project details:\n       - **Project Display Name**: Tailscale Proxy Project\n       - **Name**: tailscale-proxy-project\n       - **Project Description**: My Tailscale project\n     - Click **Create**.\n\n#### 2. **Create the Tailscale Proxy Component**\n   - On your project home page, click on **Service** under **Create a Component**.\n   - Select **Container Registry** and choose **Choreo Samples Registry**.\n   - Click on the **Tailscale Proxy** card.\n   - Enter the following details:\n     - **Component Display Name**: Tailscale proxy\n     - **Component Name**: tailscale-proxy\n     - **Description**: Tailscale proxy component\n   - Click **Create**.\n\n#### 3. **Configure and Deploy the Tailscale Proxy**\n   - **Add Required Volume Mounts**: Tailscale requires specific volume mounts:\n     - `/var/run/tailscale`\n     - `/.local`\n   - **Configure Environment Variables**: \n     - Click on **Deploy** and then **Configure & Deploy**.\n     - Add the `TS_AUTH_KEY` environment variable as a secret. Obtain the authentication key from your Tailscale network.\n     - Alternatively, you can set up an OAuth client secret named `OAUTH_CLIENT_SECRET`.\n   - **Mount Configuration File**: Specify `/config.yaml` and define port mappings for TCP traffic.\n   - **Configure Endpoints**: Edit `endpoints.yaml` to expose your Tailscale proxy as a service. For example:\n     ```yaml\n     version: 0.1\n     endpoints:\n     - name: Private HTTP service\n       port: 8080\n       type: REST\n       networkVisibility: Project\n       context: /\n     - name: Private DB service\n       port: 8081\n       type: TCP\n       networkVisibility: Project\n       context: /\n     ```\n   - Click **Save** and then **Deploy**. \n\n#### 4. **Access Private Network Endpoints**\n   - Once the Tailscale proxy is deployed and connected, you can use it to securely access private network endpoints.\n\n### Best Practices\n- **Health Checks**: Configure health checks for the Tailscale proxy.\n- **Use Tailscale ACLs**: Manage permissions using Tailscale ACLs.\n- **Disable Scale-to-Zero**: Avoid service downtime by disabling Scale-to-Zero for the Tailscale proxy.\n- **Run Multiple Replicas**: For high availability, run multiple replicas of the Tailscale proxy.\n\nFor detailed guidance and configurations, you can refer to the full documentation here: [Configure VPNs on the Choreo Cloud Data Plane](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-vpns-on-the-choreo-cloud-data-plane/)."
How do I handle node key expiry for the Tailscale proxy?,"I'm here to assist with questions related to Choreo. Could you please clarify if your question about handling node key expiry for the Tailscale proxy is related to using Choreo services or functionalities? If not, I may not be able to provide assistance on this topic."
What are the security best practices for using Tailscale in Choreo?,"When using Tailscale in Choreo, it's important to follow certain security best practices to ensure a secure deployment. Here are some key recommendations:\n\n1. **Follow Tailscale's Best Practices**: Before deploying the Tailscale proxy in production environments, adhere to the Tailscale [security best practices](https://tailscale.com/kb/1196/security-hardening) and [production best practices](https://tailscale.com/kb/1300/production-best-practices).\n\n2. **Health Checks**: Configure health checks for your Tailscale proxy. Since it acts as a forward proxy, using one of the open ports of the TCP forwarder as a health endpoint is advisable. For more information on setting up health probes in Choreo, refer to the documentation on [Set up health checks](./set-up-health-checks).\n\n3. **Use Tailscale ACLs**: Implement Tailscale Access Control Lists (ACLs) to manage permissions for users and devices on your Tailnet. This helps in controlling who can access what within your network.\n\n4. **Disable Scale-to-Zero**: It is recommended to disable the Scale-to-Zero feature for the Tailscale proxy. This component should always be running to maintain consistent connections with the Tailscale VPN mesh, as enabling Scale-to-Zero could lead to service downtime.\n\n5. **Run Multiple Replicas**: To enhance high availability and resiliency, run multiple replicas of the Tailscale proxy using Horizontal Pod Autoscaler (HPA). This ensures that your service remains operational even if one instance fails.\n\n6. **Secure Connection**: Choreo blocks incoming connections from other nodes in your Tailnet to the Tailscale proxy. This prevents unauthorized access to your project's namespace in the Choreo cloud data plane.\n\nBy following these best practices, you can mitigate potential security risks and maintain a reliable connection through Tailscale in your Choreo projects.\n\nFor further details, you can refer to the relevant sections in the documentation: \n- [Security best practices](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-vpns-on-the-choreo-cloud-data-plane/#security-best-practices)\n- [Best practices](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-vpns-on-the-choreo-cloud-data-plane/#best-practices)"
How do I generate OAuth credentials for testing APIs?,"To generate OAuth credentials for testing APIs in Choreo, you can follow these steps based on the Choreo Developer Portal UI:\n\n### Generating Access Token for Testing Purposes\n1. **Access Applications**:\n   - In the [Choreo Developer Portal](https://devportal.choreo.dev), click on **Applications** in the header.\n   \n2. **Select Your Application**:\n   - On the **My Applications** page, click on the application for which you want to generate keys and tokens.\n\n3. **Navigate to Credentials**:\n   - In the left navigation menu, click on the desired environment under **Credentials**. This will open the **Application Keys** pane for that environment.\n\n4. **Generate Token**:\n   - Click **Generate Token** to create a test access token. This token can be used for testing API invocations.\n\n### Generating Environment-Specific Keys and Tokens\nIf you need to create keys and tokens for production and non-production endpoints separately, follow these steps:\n\n1. **Access Applications**:\n   - Again, in the [Choreo Developer Portal](https://devportal.choreo.dev), click on **Applications**.\n\n2. **Select Your Application**:\n   - On the **My Applications** page, click on the application for which you want to generate keys and tokens.\n\n3. **Navigate to Credentials**:\n   - In the left navigation menu, click on the desired environment under **Credentials**. \n\n4. **Advanced Configurations**:\n   - Expand **Advanced configurations** to review options like grant types and token expiry times.\n\n5. **Generate Credentials**:\n   - Click **Generate Credentials** to obtain the consumer key and consumer secret. \n\n6. **Generate Test Token**:\n   - Click **Generate Token** to create a test token and copy the displayed token. Alternatively, you can use the cURL command to obtain a test token.\n\n### Important Notes\n- Do not use the test token in your production environment.\n- Ensure you have the necessary permissions to generate keys and tokens for production endpoints.\n\nFor detailed information, you can refer to the relevant documentation links:\n- [Generate an Access Token](https://wso2.com/choreo/docs/consuming-services/generate-an-access-token/#generate-an-access-token-via-the-developer-portal-ui-for-testing)\n- [Create an Application](https://wso2.com/choreo/docs/consuming-services/create-an-application/#step-2-generate-keys)"
How do I obtain an access token for testing APIs?,"To obtain an access token for testing APIs in Choreo, follow these steps in the Choreo Developer Portal UI:\n\n1. In the **Choreo Developer Portal** header, click on **Applications**.\n2. On the **My Applications** page, select the application for which you want to generate keys and tokens.\n3. In the left navigation menu, click on the desired environment under **Credentials**. This will open the **Application Keys** pane for that environment.\n4. Click on **Generate Token** to create a test access token.\n\nThis access token can be used to test API invocations. It's important to note that test tokens should not be used in production environments.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/consuming-services/generate-an-access-token/#generate-an-access-token-via-the-developer-portal-ui-for-testing)."
What is the difference between API-level and operation-level rate limiting?,"In Choreo, there are two main types of rate limiting: **API-level rate limiting** and **operation-level rate limiting**. Here’s a detailed explanation of the differences between the two:\n\n### API-level Rate Limiting\n- **Scope**: This type of rate limiting applies the same request count limit across all operations within the API.\n- **Functionality**: It allocates a specified number of requests that can be made in a defined time unit to the entire API, regardless of the specific operation being called.\n- **Use Case**: This is useful when you want to enforce a uniform limit on the overall usage of your API to prevent overload.\n\nFor more information on API-level rate limiting, you can refer to the documentation [here](https://wso2.com/choreo/docs/api-management/api-rate-limiting/#api-level-rate-limiting).\n\n### Operation-level Rate Limiting\n- **Scope**: In contrast, operation-level rate limiting allows you to set different rate limits for individual operations within the API.\n- **Functionality**: This enables you to define specific rate-limiting values for operations that may require additional protection or have different usage patterns.\n- **Use Case**: It is particularly beneficial for critical API operations where you want to ensure that they are not overwhelmed by excessive requests.\n\nFor more detailed information on operation-level rate limiting, you can check the documentation [here](https://wso2.com/choreo/docs/api-management/api-rate-limiting/#operation-level-rate-limiting).\n\n### Summary\n- **API-level rate limiting** is uniform across all operations, while **operation-level rate limiting** allows for customized limits per operation, thus offering more granular control.\n\nIf you have further questions or need more details, feel free to ask!"
How do I consume an API secured with an API Key?,"To consume an API secured with an API Key in Choreo, you need to follow these steps:\n\n### Step 1: Create an Application in the Choreo Developer Portal\n1. Navigate to the **Choreo Developer Portal** and sign in.\n2. Click on **APIs** in the Developer Portal header.\n3. Select the desired API that requires an API Key for access, which will take you to the API overview page.\n\n### Step 2: Generate an API Key\n1. In the left navigation menu, select the desired environment under **Credentials**.\n2. Click **Generate API Key**. You will need to configure the following options:\n   - **Key Name**: Choose a suitable name for your API key.\n   - **Application**: Select an existing application or create a new one.\n   - **Subscription Policy**: Choose an appropriate subscription policy.\n3. Click **Generate**. Your newly created API Key will be displayed.\n\n### Step 3: Use the API Key to Consume the API\nTo authenticate your API requests, include the API Key in the `api-key` header when invoking the API. Here’s an example of how to do that using `curl`:\n\n```bash\ncurl -H ""api-key: <YOUR_API_KEY>"" -X GET ""https://my-sample-api.choreoapis.dev/greet""\n```\n\nThis will allow you to successfully consume the API secured with the API Key.\n\nFor more detailed instructions, you can refer to the following documentation links:\n- [Creating an API Key](https://wso2.com/choreo/docs/consuming-services/consuming-a-service-apikey/#creating-an-api-key)\n- [Consume an API](https://wso2.com/choreo/docs/consuming-services/consuming-a-service-apikey/#consume-an-api)"
How do I deploy a containerized application in Choreo?,"To deploy a containerized application in Choreo, follow these steps:\n\n1. **Select Component Type**: Choreo supports multiple component types for containerized applications, including Services, Web Applications, Scheduled Tasks, Manual Tasks, Event Handlers, and Test Runners. Choose the appropriate type for your application during the creation process.\n\n2. **Deployment Configuration**: \n   - Choreo will automatically apply deployment configurations based on the component type you select. For example, if you select a Service, it will be deployed as a Kubernetes deployment with appropriate scaling configurations.\n   - You can configure settings such as scaling, resource limits, and health checks from the DevOps page after creating the component.\n\n3. **Application Configurations**:\n   - Provide any necessary configurations in the **Configs & Secrets** section of your component's DevOps page.\n   - You can add configuration types like **ConfigMap** for non-sensitive data and **Secret** for sensitive information. Mount these configurations either as environment variables or files in the container.\n\n4. **Build and Deploy**:\n   - After configuring your application, click the **Deploy Manually** button to initiate the build process. Choreo will build the application using the selected commit in the Build Area.\n   - By default, Choreo scans your Dockerfile for vulnerabilities during the build phase. If no critical vulnerabilities are found, it will proceed with the deployment.\n\n5. **Promoting Builds**: Once the application is built and deployed to the Development environment, you can promote it to higher environments by clicking the **Promote** button.\n\n6. **Vulnerability Management**: If any critical vulnerabilities are found during the build, the pipeline will fail. You can ignore specific vulnerabilities by adding them to a `trivyignore` file in your build context path.\n\nHere is a visual representation of the application configuration and deployment process:\n\n![Application Configuration Page](https://wso2.com/choreo/docs/assets/img/develop-components/deploy/deploy-app-config-page.png)\n\nFor detailed guidance, you can refer to the documentation: [Deploy a Containerized Application](https://wso2.com/choreo/docs/develop-components/deploy-a-containerized-application/)."
How do I connect my repository to Choreo for deploying containerized applications?,"To connect your GitHub repository to Choreo for deploying containerized applications, follow these steps:\n\n### Connecting Your Repository\n\n1. **Authorize Choreo Apps**: Start by authorizing the [Choreo Apps](https://github.com/marketplace/choreo-apps) GitHub application to access your GitHub account or organization. When you connect your GitHub repository via the Component creation page, you will see a Choreo Apps authorization prompt.\n\n2. **Grant Repository Access**: You will need to provide the necessary permissions to the Choreo Apps. The required permissions include:\n   - Read access to issues and metadata\n   - Read and write access to code, pull requests, and repository hooks\n\n3. **Connecting a Public Repository**: If you prefer to connect a public repository, you can do so without requiring authorization. Simply select the **Third-Party GitHub Repository** option and paste the public repository URL in the **Public Repository URL** field during component creation.\n\n4. **Select Repository and Branch**: After granting access, you can choose a repository and an associated branch to connect to your Choreo component.\n\n### Deployment Configuration for Containerized Applications\n\nFor deploying containerized applications, you need to provide specific details during the component creation process:\n\n- **Buildpack**: Select **Dockerfile** as the Buildpack.\n- **Dockerfile Path**: Specify the path to your Dockerfile, which should be relative to the root of your repository (e.g., `/Dockerfile` if it's at the root).\n- **Component Directory**: If you want to include the repository root, you can leave the default value as `/`.\n\n### Important Notes\n\n- Ensure that your Dockerfile explicitly defines a User ID (`UID`) under the `USER` instruction. A valid User ID is a numeric value between 10000-20000.\n- Choreo will automatically apply deployment configurations based on the component type you select, such as scaling configurations for services.\n\nThis process allows you to efficiently manage the deployment of containerized applications using Choreo. For further details, you can refer to the relevant documentation:\n- [Connect your repository to Choreo](https://wso2.com/choreo/docs/develop-components/deploy-a-containerized-application/#connect-your-repository-to-choreo)\n- [Develop Components With Git](https://wso2.com/choreo/docs/develop-components/develop-components-with-git/#connect-a-git-repository-to-choreo)"
How do I provide application configurations for containerized deployments?,"To provide application configurations for containerized deployments in Choreo, you can utilize the **Configs & Secrets** section of the component's **DevOps** page. Here’s a structured approach to manage and apply these configurations effectively:\n\n### Steps to Provide Application Configurations\n\n1. **Access the DevOps Page**:\n   - Navigate to the **DevOps** section of your containerized component.\n\n2. **Configuring Application Settings**:\n   - In the **Configs & Secrets** section, you must provide the necessary configurations required for your application to run.\n\n3. **Create and Mount Configurations**:\n   - After clicking the **Create** button, you can specify the confidentiality of the configuration and how to mount it to your container. The available types include:\n     - **ConfigMap**: For non-sensitive data stored as key-value pairs.\n     - **Secret**: For sensitive information like passwords and tokens.\n\n4. **Mount Types**:\n   - You can choose how to mount these configurations:\n     - **Environment Variables**: Mounts the selected ConfigMap or Secret as an environment variable in the container.\n     - **File Mount**: Mounts the selected ConfigMap or Secret as a file, where the key represents the file name and the value is the file content.\n\n   ![Application Configuration Page](https://wso2.com/choreo/docs/assets/img/develop-components/deploy/deploy-app-config-page.png)\n\n   ![Create Configuration Mount Page](https://wso2.com/choreo/docs/assets/img/develop-components/deploy/deploy-app-config-type-mount-page.png)\n\n5. **Deployment Process**:\n   - Once you have added the configurations, you can build and deploy your application by clicking the **Deploy Manually** button. Choreo will initiate the build process based on the selected commit.\n\n### Additional Notes\n- It is important to securely handle sensitive data and ensure that configurations are encrypted both at rest and in transit.\n- You can also review configurations during a manual deployment via the **Deploy** page.\n\nFor further details, you can explore the document on [Deploy a Containerized Application](https://wso2.com/choreo/docs/develop-components/deploy-a-containerized-application/#deploy-the-containerized-component) to understand more about the process and options available."
How do I configure deployment settings like scaling and resource limits?,"In Choreo, you can configure deployment settings such as scaling and resource limits for your components through the Choreo Console. Here’s how to manage these settings:\n\n### Configuring Resource Limits\n1. **View Container Details**: Each component in Choreo consists of a single main container. You can view detailed information about the container, including its image tag and any imposed resource usage limits.\n   \n2. **Set Resource Limits**: Resource limits are crucial to ensure that a single component does not consume more resources than necessary, which can impact other workloads. If a process exceeds the allocated memory limit, the container will be forcefully shut down and restarted. If it exceeds the CPU limit, it will be throttled, potentially causing performance issues. You can edit the default container configuration to set these limits according to your requirements.\n\n   ![Container Details](https://wso2.com/choreo/docs/assets/img/devops-and-ci-cd/containers/containers-view.png)\n\nFor more details, refer to the documentation on [Configuring Container Resources, Commands, and Arguments](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-container-resources-commands-and-arguments/).\n\n### Configuring Scaling\n1. **Enable Scale-to-Zero**: For service components and web apps created after February 23, 2024, the scale-to-zero feature is enabled by default. This means that the deployment will automatically scale to zero when not in use.\n\n2. **Manual Configuration for Earlier Components**:\n   - Select the component you want to scale-to-zero.\n   - Ensure that the component is deployed and ready to receive traffic.\n   - Navigate to the **DevOps** section in the left menu, then click on **Scaling**.\n   - Click the **scale-to-zero** card to enable this feature.\n\n   ![Free User - Scale to Zero](https://wso2.com/choreo/docs/assets/img/devops-and-ci-cd/scaling/free-user-scaling-view.png)\n\n   Depending on your user tier (free or paid), the views might differ slightly.\n\nFor a comprehensive guide, check out the section on [Autoscaling Components with Scale-to-Zero](https://wso2.com/choreo/docs/devops-and-ci-cd/autoscale/autoscale-components-with-scale-to-zero/#enable-scale-to-zero).\n\nBy following these steps, you can effectively manage the resource limits and scaling settings for your components in Choreo."
How does Choreo support deploying applications with buildpacks?,"Choreo supports deploying applications using buildpacks, which are essential tools that streamline the application deployment process. Here's a detailed overview of how Choreo utilizes buildpacks and the deployment process:\n\n### What are Buildpacks?\nBuildpacks are automated tools that transform your source code into a secure, efficient, production-ready container image without requiring a Dockerfile. They simplify the deployment process by handling configuration and dependencies automatically. Choreo utilizes Google Buildpacks for various programming languages such as Java, Go, NodeJS, Python, PHP, and Ruby, while using its own buildpacks for Ballerina and WSO2 MI.\n\n### Deployment Process Using Buildpacks in Choreo\n1. **Component Types**: Choreo supports deploying applications with buildpacks for various component types, including:\n   - Service\n   - Web Application\n   - Scheduled Task\n   - Manual Task\n   - Webhook\n   - Event Handler\n   - Test Runner\n\n2. **Creating a Web Application**:\n   - Connect a repository containing your web application source code.\n   - Select the appropriate buildpack (for example, if you are using a JavaScript framework, you can choose from available default buildpacks such as React, Angular, or Vue.js).\n   - Specify the build command based on your package manager (like NPM, yarn, or pnpm).\n   - Define the output directory for the build.\n   - Set the required NodeJS version explicitly.\n\n   Once these configurations are set, Choreo automatically generates a build pipeline for your application and deploys it.\n\n3. **CI/CD Pipeline**: \n   - Choreo auto-generates build pipelines that create a container image from the provided source code or a Dockerfile, if specified. \n   - The pipeline also runs security and vulnerability scans, pushes the generated image to a container registry, and updates service endpoints and API specifications as necessary.\n\n4. **Triggering Builds**:\n   - Builds can be triggered manually from the Build page by clicking **Build Latest**. You can also enable **Auto Build on Commit** to automatically trigger builds with each code commit.\n\n5. **Build Logs**: \n   - Users can view build logs for specific builds on the Build page, allowing for easy tracking and troubleshooting.\n\n### Summary\nUsing buildpacks within Choreo simplifies the deployment of applications by automating the build process and reducing the need for manual configuration. This allows developers to focus more on writing code rather than worrying about deployment intricacies.\n\nFor more detailed instructions, you can refer to the documentation [here](https://wso2.com/choreo/docs/develop-components/deploy-an-application-with-buildpacks/)."
How do I configure build-time environment variables for buildpacks?,"To configure build-time environment variables for buildpacks in Choreo, you can follow these steps:\n\n1. **Navigate to the Build Page**: Access the **Build Configurations Editor** on the component's **Build** page.\n\n2. **Configure Environment Variables**: Here, you can specify the environment variables necessary for building your component. These environment variables will be passed to the buildpack during the build process. You can configure both buildpack-specific environment variables and those required for the component build.\n\n   - For instance, if you are using the Java buildpack and wish to override the Maven command, you would set the environment key as `GOOGLE_MAVEN_BUILD_ARGS` and the value as `clean install`.\n\n3. **Limitations**: Note that the ability to configure build-time environment variables is not available for components created using **Ballerina** or **WSO2 MI** buildpacks.\n\nFor a more detailed understanding and examples, you can refer to the [Choreo documentation on developing components](https://wso2.com/choreo/docs/develop-components/deploy-an-application-with-buildpacks/#develop-a-component)."
