question,answer
How do I implement a custom API policy using Ballerina in Choreo?,"To implement a custom API policy using Ballerina in Choreo, follow these steps:\n\n### Prerequisites\n1. **Ballerina Installation**: Ensure that you have Ballerina version 2201.5.5 installed. You can download it from the [Ballerina website](https://ballerina.io/downloads/swan-lake-release-notes/swan-lake-2201.5.5).\n2. **Access Token Configuration**: Open the `~/.ballerina/settings.toml` file and configure an access token for Ballerina Central. You can generate a token from [Ballerina Central](https://central.ballerina.io/dashboard?tab=token) and copy the `Settings.toml` file to your local `~/.ballerina` directory or set it as an environment variable.\n\n### Step 1: Initialize a Ballerina Project\nUse the Choreo template to create a mediation policy project:\n```bash\nbal new -t choreo/mediation.template:1.0.0 <policy-name>\n```\nExample:\n```bash\nbal new -t choreo/mediation.template:1.0.0 validateHeader\n```\nThis will create a Ballerina project with the necessary configurations.\n\n### Step 2: Implement the Policy\nOpen the `policy.bal` file in your project and implement your policy. For instance, if you want to validate an incoming request header, you can modify the request and response stubs accordingly. \n\n#### Sample Implementation:\n**Request Flow**:\n```ballerina\n@mediation:RequestFlow\npublic function validateRequestHeader(mediation:Context ctx, http:Request req, string headerName, string headerValue) returns http:Response|false|error|() {\n    string|http:HeaderNotFoundError header = req.getHeader(headerName);\n    if (header is http:HeaderNotFoundError) {\n        string message = string `Header ${headerName} is not found`;\n        log:printError(message);\n        return generateResponse(message, http:STATUS_BAD_REQUEST);\n    }\n    if (header != headerValue) {\n        string validationFailedMessage = string `Header validation failed. Expected ${headerValue} but found ${header}`;\n        log:printError(validationFailedMessage);\n        return generateResponse(validationFailedMessage, http:STATUS_BAD_REQUEST);\n    }\n    log:printInfo(""Header validation successful"");\n    return ();\n}\n\nfunction generateResponse(string message, int statusCode) returns http:Response {\n    http:Response response = new();\n    response.setTextPayload(message);\n    response.statusCode = statusCode;\n    return response;\n}\n```\n\n**Response Flow**:\n```ballerina\n@mediation:ResponseFlow\npublic function validateResponseHeader(mediation:Context ctx, http:Request req, http:Response res, string headerName, string headerValue) returns http:Response|false|error|() {\n    string|http:HeaderNotFoundError header = res.getHeader(headerName);\n    if (header is http:HeaderNotFoundError) {\n        string message = string `Header ${headerName} is not found`;\n        log:printError(message);\n        return ();\n    }\n    if (header != headerValue) {\n        string validationFailedMessage = string `Header validation failed. Expected ${headerValue} but found ${header}`;\n        log:printError(validationFailedMessage);\n        return ();\n    }\n    return ();\n}\n```\n\n### Step 3: Publish the Policy\nOnce your policy is implemented, you need to publish it to Ballerina Central:\n1. Package the policy:\n   ```bash\n   bal pack\n   ```\n2. Publish the package:\n   ```bash\n   bal push\n   ```\n\n### Best Practices\n- Organize your source code within the default module and avoid adding additional modules.\n- Familiarize yourself with different return types of policy flows (like `http:Response`, `false`, `error`, and `()`).\n\nFor detailed information, you can refer to the documentation on how to [implement an API policy](https://wso2.com/choreo/docs/api-management/api-policies/#implement-an-api-policy) in Choreo."
How can I view the audit logs for my organization?,"To view the audit logs for your organization in Choreo, follow these steps:\n\n1. In the Choreo Console, navigate to the top navigation menu and click on **Organization**.\n2. In the left navigation menu, click on **DevOps** and then select **Audit Logs**. This will display the audit logs for the past 30 days by default.\n3. You can apply filter criteria to view audit logs based on a specific time range and other requirements.\n\nAudit logs in Choreo record organization-level user-specific operations, such as project and component creation, updates, and deletions, among others. The logs capture the timestamp and the outcome of each action. \n\nPlease note that only organization administrators can view audit logs by default. If other members need access, the administrator can create a role with the relevant permission and assign it to those members.\n\nFor more detailed instructions on managing audit log access, you can refer to the [Manage audit log access](https://wso2.com/choreo/docs/monitoring-and-insights/view-logs/#manage-audit-log-access) section.\n\nHere’s a visual reference for navigating to the audit logs:\n\n![Audit logs](https://wso2.com/choreo/docs/assets/img/monitoring-and-insights/view-logs/audit-logs.png)\n\nFor additional information on viewing logs, you can check the comprehensive guide [here](https://wso2.com/choreo/docs/monitoring-and-insights/view-logs/#audit-logs)."
How do I create a role that can only view audit logs?,"To create a role in Choreo that grants permissions to view audit logs, follow these steps:\n\n### Step 1: Create a Role with Audit Log Access Permission\n1. In the Choreo Console, go to the top navigation menu and click **Organization**.\n2. In the left navigation menu, click **Settings**.\n3. On the **Organization** tab, click **Roles** and then click **+ Create Role**.\n4. Enter a name and a description for the role.\n5. Click **Next**.\n6. In the **Create Role** dialog, select **LOG-MANAGEMENT** under **Permissions**.\n7. Click **Create**.\n\n### Step 2: Assign the Created Role to an Organization Member\n1. On the **Organization** tab, click **Members** to list the members of the organization.\n2. Click on the member who needs access to audit logs, and then click **+ Add Role**.\n3. Expand the **Roles** list and select the role you created in Step 1.\n4. Click **Add** to assign the selected role to the member.\n\nNow, the designated member will have access to view the audit logs.\n\nFor more details, you can refer to the documentation here: [Manage audit log access](https://wso2.com/choreo/docs/monitoring-and-insights/view-logs/#audit-logs)."
How can I troubleshoot issues related to scale-to-zero in Choreo?,"To troubleshoot issues related to the scale-to-zero feature in Choreo, you can follow these guidelines to identify and resolve common problems:\n\n### 1. **503 Status Code on First Request**\n   - It's common to encounter a 503 status code on the first request after deploying a component with scale-to-zero enabled. This usually happens because the readiness probe has default values that may not align with your application's needs. \n   - **Solution**: Adjust the readiness probe settings in the **DevOps** → **Health Checks** view to better fit your application.\n\n### 2. **Port Limitations**\n   - Ensure that your HTTP service runs on the specified ports for scale-to-zero to work. The supported ports are:\n     - 5000, 6000, 7000, 8000, 9000, 7070 to 7079, 8080 to 8089, and 9090 to 9099, or 8290.\n   - **Solution**: If your service is running on a different port, it will not automatically scale to zero. You may need to change the port or adjust your service configuration.\n\n### 3. **Scheduled Tasks and Component Connections**\n   - Scheduled tasks and manually triggered components cannot connect to a service on a project scope if scale-to-zero is enabled. This may result in errors like `Host not found, not forwarding request`.\n   - **Solution**: Set the task-type component to HPA mode (if on a paid plan) or to no scaling (if on the Developer plan).\n\n### 4. **Service Startup Time**\n   - After enabling scale-to-zero, the service should start within 60 seconds. If it does not, the gateway will timeout the request.\n   - **Solution**: Monitor the startup time and ensure that it is within the expected limit. If it consistently exceeds this duration, consider optimizing your service's startup process.\n\n### 5. **Component Deployment and Environment Configuration**\n   - Make sure that your component is deployed and ready to receive traffic before expecting it to scale to zero.\n   - **Solution**: Check the deployment status in the **Component Listing** pane and ensure that your settings are correctly applied in the **DevOps** → **Scaling** view.\n\nBy following these troubleshooting steps, you should be able to identify and resolve common issues related to the scale-to-zero feature in Choreo.\n\nFor more detailed guidance, please refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/autoscale/autoscale-components-with-scale-to-zero/#troubleshooting)."
How do I configure resource limits for a manual task component?,"To set resource limits for a manual task component in Choreo, you can configure the default container settings associated with the component. Here are the steps to do this:\n\n1. In the Choreo Console, go to the **Overview** page of your manual task component.\n2. Look for the section that allows you to view and edit the container configuration, which includes resource limits.\n3. Set the resource limits according to your requirements. This includes specifying the memory and CPU limits. \n\n   - **Memory Limit**: If the process exceeds the allocated memory limit, the container will be forcefully shut down and restarted.\n   - **CPU Limit**: If the container exceeds the allocated CPU limit, it will be throttled, which may cause significant latencies in compute and I/O operations.\n\nBy setting these limits, you ensure that your manual task component does not consume more resources than necessary, which helps maintain the performance of other workloads on the data plane.\n\nFor more detailed instructions, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-container-resources-commands-and-arguments/)."
How do I add build-time environment variables to a buildpack-based component?,"To add build-time environment variables to a buildpack-based component in Choreo, you can follow these steps:\n\n1. **Access the Component**: In the Choreo Console, navigate to the **Component Listing** pane and select the component you want to configure.\n\n2. **Open Build Configurations**: Go to the **Build** page of the selected component.\n\n3. **Use Build Configurations Editor**: Look for the **Build Configurations Editor** where you can configure the necessary environment variables for building your component.\n\n4. **Add Environment Variables**: Here, you can specify the build-time environment variables by defining the key-value pairs. It's important to note that these environment variables will be passed to the buildpack during the build process, thus allowing you to configure both buildpack-specific environment variables and those required for your component's build.\n\n5. **Example of Setting Variables**: For instance, if you want to override the default Maven command in a Java buildpack, you can set the environment variable `GOOGLE_MAVEN_BUILD_ARGS` with the value `clean install`.\n\nPlease note that the capability to configure build-time environment variables is not available for components created using **Ballerina** or **WSO2 MI** buildpacks.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/develop-components/deploy-an-application-with-buildpacks/#develop-a-component)."
How do I configure file mounts for a Dockerfile-based component?,"To configure file mounts for a Dockerfile-based component in Choreo, follow the steps outlined below:\n\n1. **Select Your Component**: In the Choreo Console, navigate to the **Component Listing** pane and click on the component for which you want to define file mounts.\n\n2. **Access DevOps Settings**: In the left navigation menu, click on **DevOps**, and then select **Configs & Secrets**.\n\n3. **Create a New Config or Secret**: Click on **+ Create** to open the creation pane.\n\n4. **Select File Mount**: In the **Create a Config or Secret** pane, choose the option for **File Mount**.\n\n5. **Mark as Secret (Optional)**: If you want to create the file mount as a secret, check the option **Mark as a Secret**. Otherwise, you can proceed without marking it as a secret.\n\n   > **Note**: If marked as a secret, you won't be able to read the file content after creation.\n\n6. **Specify Display Name**: In the **Display Name** field, enter a name for the file mount. This name is just a reference for identification and does not affect the content.\n\n7. **Define File Mount Path**: In the **File Mount Path** field, specify where to mount the file inside the container using an absolute file path that includes the file name and extension if applicable.\n\n   > **Tip**: The file name in the mount path does not need to match the configuration name or the name of the file you upload.\n\n8. **Upload or Edit File Content**: Upload your configuration file or copy and paste the content into the editor.\n\n9. **Create the File Mount**: Click **Create** to finalize your configuration. \n\n   > **Note**: The configurations and secrets are applied immediately, and any existing running replicas will undergo a rolling restart to reflect the changes.\n\nFor more detailed information, you can refer to the official documentation: [Manage Configurations and Secrets](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-configurations-and-secrets/#apply-a-file-mount-to-your-container)."
How do I use the Choreo CLI to describe a project?,"To describe a project using the Choreo CLI, you can utilize the appropriate command that is designed for this purpose. Although the specific command for describing a project isn't detailed in the documents provided, you can generally use the Choreo CLI commands to manage your projects.\n\nTypically, the command structure might look something like this:\n\n```sh\nchoreo project describe <project-name>\n```\n\nThis command would provide details about a specific project, including its components and configurations. If you're unsure of the exact command syntax, you can always check the help section of the CLI by running:\n\n```sh\nchoreo project --help\n```\n\nThis will give you information about all available commands and options related to projects in the Choreo CLI.\n\nFor more detailed information on the Choreo CLI and its commands, you can refer to the FAQ section [here](https://wso2.com/choreo/docs/references/faq/#choreo-cli)."
How do I configure a Tailscale auth key to automatically approve new nodes?,"I'm here to assist with questions related to Choreo. If your question is about integrating Tailscale with a service or platform within Choreo, please provide more details or clarify how it relates to Choreo. Otherwise, I won't be able to assist with non-Choreo related questions."
How can I secure my API with scopes using Choreo’s built-in security token service?,"To secure an API with scopes using Choreo’s built-in security token service, you can follow these steps:\n\n### Step 1: Assign Permissions to the API\n1. In the Choreo Console, navigate to your project.\n2. Select the component (API) for which you want to set permissions.\n3. Go to the **Deploy** section.\n4. Access the **Endpoint Configurations**.\n5. In the **Permissions List**, click **+ Add Permission(Scope)** and enter the desired permission value.\n6. Click **+ Add New** to add the permission.\n7. Copy the fully qualified name of the added permission for future reference.\n8. Attach the permissions to the respective resources by selecting from the **Select Permissions** list.\n9. Click **Apply**.\n10. Redeploy the component by going to **Configure & Deploy** and clicking **Deploy**.\n\nFor more detailed steps, you can refer to the documentation [here](https://wso2.com/choreo/docs/authentication-and-authorization/test-secure-api-access-with-choreo-built-in-security-token-service/#step-1-assign-permissions-to-an-api).\n\n### Step 2: Create Roles and Assign Permissions\n1. In the Choreo Console, navigate to **Settings**.\n2. Click on the **Application Security** tab.\n3. Click **+ Role**.\n4. Provide a **Role Name** and **Role Description**.\n5. Select the permissions you want to assign to the role and click **Create**.\n\nFor more details, refer to the documentation [here](https://wso2.com/choreo/docs/authentication-and-authorization/test-secure-api-access-with-choreo-built-in-security-token-service/#step-2-create-roles-and-assign-permissions).\n\n### Step 3: Assign Roles to User Groups\n1. Go to the **Organization** tab in the Choreo Console.\n2. Click on **Application Security** and then **Role Management**.\n3. Click **Map Groups** next to the role you want to assign.\n4. Specify the group name and save your changes.\n\nFor further information, check the documentation [here](https://wso2.com/choreo/docs/authentication-and-authorization/test-secure-api-access-with-choreo-built-in-security-token-service/#step-3-assign-roles-to-user-groups).\n\n### Conclusion\nBy following these steps, you can effectively secure your API with scopes using Choreo’s built-in security token service. This setup helps manage access control and ensures that only authorized users can invoke the API based on their assigned roles and permissions. \n\nFor a comprehensive overview of setting up security for APIs, refer to the main documentation [here](https://wso2.com/choreo/docs/authentication-and-authorization/test-secure-api-access-with-choreo-built-in-security-token-service/)."
How can I configure a continuous deployment pipeline with more than two environments?,"To configure a continuous deployment pipeline with multiple environments in Choreo, follow these steps:\n\n### Step 1: Create a New Continuous Deployment Pipeline\n1. Confirm that you have the `ENVIRONMENT-MANAGEMENT` permission, which is typically granted to roles such as Admin, Choreo Platform Engineer, and Choreo DevOps.\n2. In the Choreo Console, navigate to the **Organization** section and select your organization.\n3. Go to the **DevOps** section in the left navigation menu, and click on **CD Pipelines**.\n4. Click **+ Create Pipeline** and provide the necessary details:\n   - **Name**: Enter a display name for your new pipeline.\n   - **Mark as Default**: Choose this option if you want this pipeline to be the default for all new projects.\n5. Click **+ Add Environment** to include the required environments for your pipeline. You can specify the sequence in which these environments will be applied.\n6. Once you’ve added all desired environments, click **Create** to finalize the new pipeline.\n\n### Step 2: Edit Existing Continuous Deployment Pipeline (if needed)\nIf you need to modify an existing pipeline:\n1. Go to the **CD Pipelines** section as before.\n2. Click the edit icon next to the pipeline you wish to change.\n3. Update the pipeline name, default status, or the sequence of environments as needed.\n4. Click **Update** to save your changes.\n\n### Step 3: Add a Continuous Deployment Pipeline to a Project\nTo apply the created pipeline to a specific project:\n1. Select the project from the **Organization** section.\n2. Navigate to **DevOps** and then to **CD Pipelines**.\n3. Click **+ Add** and choose the pipelines you want to assign to the project.\n4. Click **Add** to finalize this action.\n\n### Important Notes\n- Choreo allows you to manage components across multiple environments using a **build once, deploy many** strategy. This means you create your services once and can promote them to different environments for testing or production.\n- Each environment can have its own configurations and secrets, ensuring a clean separation between code and environment-specific settings. \n\nFor further details, you can refer to the documentation here:\n- [Create a new continuous deployment pipeline](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-continuous-deployment-pipelines/#create-a-new-continuous-deployment-pipeline)\n- [Add a continuous deployment pipeline to a project](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-continuous-deployment-pipelines/#add-a-continuous-deployment-pipeline-to-a-project)"
How can I quickly deploy a sample REST API with OpenAPI definition in Choreo?,"To quickly deploy a sample REST API with an OpenAPI definition in Choreo, you can follow these steps:\n\n### Steps to Deploy a Sample REST API\n\n1. **Create an API Proxy**:\n   - If you don’t have any components in your project, click on **+ Create** to start.\n   - Select the **API Proxy** card, which opens the **Create an API Proxy** pane.\n   - Click on the **Create from Scratch** option.\n\n2. **Specify Proxy Metadata**:\n   - Fill in the following details:\n     - **Context**: This is a unique identifier for your API. For example, you might use `department-service`.\n     - **Version**: Define the version of your API, such as `v1.0`.\n     - **Target**: Provide the URL of the service you want to connect to. For example, you might use `https://samples.choreoapps.dev/company/hr`.\n\n3. **Component Details**:\n   - Enter the component details:\n     - **Component Display Name**: A user-friendly name for your API, e.g., `Department Service`.\n     - **Component Name**: This must be unique and cannot be changed after creation, e.g., `department-service`.\n     - **Description**: A brief description of what your API does, e.g., `Sample proxy for department service`.\n\n4. **Create the API Proxy**:\n   - Click on **Create**. This action will create the API proxy component and redirect you to the **Deploy** page.\n\n5. **Post-deployment Actions**:\n   - To test the deployed service, navigate to the **Test Console** in the Choreo Console UI.\n\nFollowing these steps will help you set up and deploy a sample REST API quickly. For detailed guidance, you can refer to the official documentation: [Develop an API Proxy from Scratch](https://wso2.com/choreo/docs/develop-components/develop-proxy/develop-an-api-proxy-from-scratch/#step-1-create-an-api-proxy)."
How can I generate access tokens for API testing in the Choreo Developer Portal?,"To generate an access token for API testing in the Choreo Developer Portal, follow these detailed steps:\n\n### Prerequisites\nBefore you begin, ensure you have the following:\n1. An application created in the [Choreo Developer Portal](https://devportal.choreo.dev).\n2. Keys generated for the application.\n3. Subscriptions created for the APIs you want to access.\n\n### Steps to Generate an Access Token\n1. **Access the Applications Section**:\n   - In the header of the Choreo Developer Portal, click on **Applications**.\n\n2. **Select Your Application**:\n   - On the **My Applications** page, click on the application for which you want to generate keys and tokens.\n\n3. **Navigate to Credentials**:\n   - In the left navigation menu, click on the desired environment under **Credentials**. This will open the **Application Keys** pane for that environment.\n\n4. **Generate the Token**:\n   - Click **Generate Token** to create a test access token.\n\nAfter following these steps, you will have an access token that you can use for testing API calls.\n\nFor more information, you can refer to the detailed documentation here: [Generate an Access Token via the Developer Portal UI (for testing)](https://wso2.com/choreo/docs/consuming-services/generate-an-access-token/#generate-an-access-token-via-the-developer-portal-ui-for-testing)."
How do I configure a custom domain for a scheduled task?,"To configure a custom domain for a scheduled task in Choreo, you'll need to follow a two-step process: adding the custom domain at the organizational level and then requesting a custom URL for your scheduled task.\n\n### Step 1: Add a Custom Domain for Your Organization\n\n1. Ensure you have organization administrator privileges.\n2. In the Choreo Console header, click the **Organization** list.\n3. In the left navigation menu, click **Settings** to open the organization-level settings page.\n4. Click the **URL Settings** tab and then the **Active Domains** tab.\n5. Click **+ Add Domains**.\n6. In the **Add a Custom Domain** pane:\n   - Enter your custom domain name.\n   - Select the environment to apply the domain name.\n   - Choose the appropriate entity type (e.g., API, Web App).\n7. Note the generated CNAME target value and create a DNS record with your DNS provider.\n8. Once the DNS record is created, click **Verify** to check the CNAME mapping.\n9. After successful verification, click **Next** and select a TLS certificate provider.\n10. Finally, click **Add** to save the custom domain.\n\nOnce your custom domain is added, it will be available for use.\n\n### Step 2: Request a Custom URL for Your Scheduled Task\n\n1. Make sure your scheduled task is deployed to the specific environment where you want to configure the custom URL.\n2. In the **Component Listing** pane, select your scheduled task.\n3. Click **Settings** in the left navigation menu.\n4. Go to the **URL Settings** tab, where you'll see the active deployments and whether a custom URL is configured.\n5. If a custom domain is available, click the **Edit URL Mapping** icon for the respective environment.\n6. In the **URL Settings** dialog:\n   - Select your custom domain from the dropdown.\n   - Specify the path for the scheduled task if required.\n7. Click **Configure** to create the custom URL mapping, which will be pending until an administrator approves it.\n\n### Approving the Custom URL Request\n\nAs an administrator, you can approve the custom URL request by going to the **Pending URL Requests** tab under **URL Settings** and clicking the **Approve URL Mapping** icon next to the request you wish to approve.\n\nOnce approved, your scheduled task will be accessible via the configured custom URL.\n\nFor detailed instructions on adding a custom domain and requesting a custom URL, you can refer to the [Choreo documentation on configuring a custom domain for your organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/)."
How can I switch between different projects within the VS Code extension?,"I'm here to help with questions related to Choreo. If your question is related to switching projects within the Choreo VS Code extension or any other aspect of Choreo, please provide more details or clarify your question. If it's not related to Choreo, I won't be able to assist with it."
How do I link a local directory to an existing Choreo project using the VS Code extension?,"To link a local directory to an existing Choreo project using the VS Code extension, follow these steps:\n\n1. **Open the VS Code Extension**: Ensure you have the Choreo extension installed in your Visual Studio Code environment.\n\n2. **Connect to Your Choreo Project**: Use the extension to connect to your existing Choreo project. This typically involves selecting the project from a list of your existing projects.\n\n3. **Link the Local Directory**: \n   - From the VS Code interface, you should have an option to associate or link a local directory with your Choreo project. This might be a feature in the command palette or a specific button in the Choreo extension sidebar.\n   - Select the local directory that contains your project files. This directory should contain the relevant code and configuration files for your Choreo components.\n\n4. **Initialize the Connection**: Once the local directory is linked, the extension will often prompt you to initialize the connection by setting up necessary configurations or files that allow your local code to sync with the Choreo project.\n\n5. **Confirm the Link**: After linking, ensure that the local changes you make in the directory are reflected in your Choreo project. This may involve committing changes to a Git repository if your project is version-controlled.\n\nFor more detailed instructions or specific commands, you may refer to the [Choreo documentation on developing components with Git](https://wso2.com/choreo/docs/develop-components/develop-components-with-git/#connect-a-git-repository-to-choreo). \n\nThis documentation will provide you with insights on how to effectively manage your Git repositories within Choreo, including linking and syncing your local development environment."
How do I add a new project association to a context.yaml file using the VS Code extension?,"To add a new project association to a `context.yaml` file using the Choreo VS Code extension, follow these steps:\n\n1. **Open your VS Code project**: Ensure you have your project opened in VS Code where the `context.yaml` file is located.\n\n2. **Locate the `context.yaml` file**: Navigate to the directory containing the `context.yaml` file in your project.\n\n3. **Edit the `context.yaml` file**: Open the `context.yaml` file for editing. You will need to add a new project association in the appropriate format. Typically, this involves specifying the project name, identifier, and any other relevant details in YAML format.\n\n4. **Add the new project association**: Insert the new project details under the relevant section in the `context.yaml` file. The structure may look like this:\n\n   ```yaml\n   projects:\n     - name: your_project_name\n       id: your_project_id\n       # Other relevant properties\n   ```\n\n5. **Save your changes**: After adding the new project association, make sure to save the `context.yaml` file.\n\n6. **Deploy your changes**: After saving the file, you may need to deploy your changes using the Choreo VS Code extension functionalities to ensure that the new association is recognized in the Choreo environment.\n\nFor detailed guidance on using the Choreo VS Code extension, please refer to the official documentation. Unfortunately, I do not have specific steps regarding the usage of the Choreo VS Code extension in the provided documents. For more information, you might want to explore the Choreo documentation directly."
How can I add a third-party service as a dependency to my project?,"To add a third-party service as a dependency to your Choreo project, you need to register the service in the Choreo Console. Here’s a step-by-step guide to help you with the process:\n\n### Step 1: Register the Third-Party Service\n\n1. **Select the Level of Registration**:\n   - Decide whether to register the service at the **Organization level** (accessible from any project within the organization) or at the **Project level** (restricted to a specific project).\n\n2. **Access the Dependencies Section**:\n   - In the left navigation menu, click on **Dependencies** and then select **Third-Party Services**.\n\n3. **Register the Service**:\n   - Click on **+ Register**.\n   - Provide the necessary details for the service:\n     - **Name**: Enter a name for your service.\n     - **Version**: Specify the version of the service.\n     - **Service Definition File**: Upload the service definition file (e.g., OpenAPI or GraphQL schema). This will automatically detect the service type.\n     - **Verify the Service Type**: Ensure the correct service type is displayed.\n\n4. **Define Endpoints**:\n   - Click **Define Endpoints** to proceed to define the service endpoints, which include the parameters required to connect to the service (like the service URL, API key, etc.).\n\n### Step 2: Define Service Endpoints\n\n1. **Create the Endpoint**:\n   - Under **Define New Endpoint**, enter:\n     - **Name**: Specify a name for the endpoint.\n     - **Endpoint URL**: Provide the endpoint URL.\n   \n2. **Add Additional Parameters**:\n   - Include any other parameters required for the connection, such as API keys or authorization tokens. You can mark parameters as ""Secret"" for confidentiality.\n\n3. **Select Environments**:\n   - Choose the environments where the endpoint should be accessible. This determines where service consumers can create connections to the endpoint.\n\n4. **Complete the Registration**:\n   - Click **OK** after defining the endpoint. If you have more endpoints to add, click **+ New Endpoint** and repeat the process.\n   - Finally, click **Register** to finalize the registration of the service.\n\nOnce registered, the service will be available in the Internal Marketplace and can be consumed via a Connection.\n\n### Important Notes:\n- Ensure you have all the necessary details from the service provider before you start the registration process, such as the service URL and API specifications.\n- If you want to manage the service later, you can view or update details from the **Third-Party Services** list.\n\nFor more detailed information, you can refer to the documentation on [registering a third-party service in Choreo](https://wso2.com/choreo/docs/integrate-and-manage-external-services/integrate-and-manage-third-party-services/#register-a-third-party-service-in-choreo)."
How do I configure a connection to an external service using mutual TLS?,"To configure a connection to an external service using mutual TLS in Choreo, follow these steps:\n\n### 1. Generate Certificates\nYou need to create the following certificates for mutual TLS:\n\n- **Root Certificate**: This certificate is trusted by both the client and server. It is used to verify the authenticity of other certificates during the mutual TLS handshake and to issue certificates for clients and servers. You can generate this using a tool like OpenSSL.\n\n- **Client Certificate**: This certificate authenticates the client. The Common Name (CN) in the certificate identifies the client and must be signed by the root certificate.\n\n- **Server Certificate**: This certificate is used by clients to verify the server’s trustworthiness. Similar to the client certificate, it must be signed by the root certificate. When generating the server certificate, specify the server's hostname for the Subject Alternative Name (SAN). You can get this hostname from the project endpoint on the Overview page. \n\n### 2. Configure Mutual TLS\nOnce you have your certificates ready, configure mutual TLS for your service connections. Mutual TLS ensures that both the client and server validate each other's certificates before establishing a connection, thereby enhancing security.\n\n### 3. Read Certificates in Components\nEach component can read the mutual TLS certificates from the file system or via environment variables. Ensure that your private key is saved as a secret for security.\n\n### Additional Resources\nFor a more detailed understanding and a sample implementation, you can refer to the following documents:\n- [Configure Mutual TLS Between Components](https://wso2.com/choreo/docs/authentication-and-authorization/configure-mutual-tls-between-components/)\n- [Secure Communication Between the Choreo Gateway and Your Backend with Mutual TLS](https://wso2.com/choreo/docs/authentication-and-authorization/secure-communication-between-the-choreo-gateway-and-your-backend-with-mutual-tls/)\n  \nThese resources will provide you with a comprehensive guide to setting up mutual TLS connections effectively in Choreo."
How do I pass custom claims in the JWT to my backend service?,"To pass custom claims in the JWT to your backend service in Choreo, you need to enable the feature that allows end-user attributes to be sent through API calls. Here's how you can do it:\n\n### Steps to Enable Passing End-User Attributes\n\n1. **Select Your Component**: In the Choreo Console, navigate to the **Components Listing** pane and select the component for which you want to pass end-user attributes to the backend.\n\n2. **Access Endpoint Configurations**:\n   - Click on **Deploy** in the left navigation menu.\n   - Go to the **Set Up** card and click on **Endpoint Configurations**. This will open the **Endpoint Configurations** pane.\n\n3. **Enable Passing Security Context**:\n   - Check the **Pass Security Context To Backend** checkbox.\n   - Optionally, you can specify appropriate audience values in the **End User Token Audiences** field. This restriction allows the backend service to validate and confirm the intended recipients of the JWT.\n\n4. **Apply Changes**: Click **Apply** to save your changes.\n\n5. **Redeploy the Component**: Finally, to apply the settings, go back to the **Set Up** card and click **Deploy**.\n\n### Understanding JWT Structure\n\nWhen a request is made, the backend JWT is carried to the backend service in the format:\n```\n{token header}.{claims list}.{signature}\n```\nThe JWT will be appended as the `X-JWT-Assertion` header in the outgoing message. This JWT can include various claims, such as user metadata or application details, which your backend service can utilize for processing.\n\n### Additional Information\n\n- The claims that get added to the JWT can vary based on the grant type used when generating the access token.\n- If you want to validate the JWT, ensure that your backend service can verify the authenticity of the claims using the appropriate public keys.\n\nFor more detailed information, you can refer to the documentation here: [Pass End-User Attributes to Upstream Services](https://wso2.com/choreo/docs/authentication-and-authorization/pass-end-user-attributes-to-upstream-services/#enable-passing-end-user-attributes-to-the-backend)."
How can I use the test runner to execute integration tests on my API?,"To execute integration tests on an API using the test runner in Choreo, you can follow these structured steps:\n\n### Step 1: Create a Test Runner Component\n1. In the Choreo Console, click **+Create** in the **Component Listing** section.\n2. Select the **Test Runner** card.\n3. Choose to connect to your GitHub account or use a public repository. If connecting to your GitHub account, authorize the Choreo GitHub App by entering your credentials.\n4. Fill out the repository details:\n   - **Organization**: Your GitHub account\n   - **GitHub Repository**: choreo-samples\n   - **Branch**: `main`\n   - **Component Directory**: Depending on the language of your choice (e.g., `/test-runner-go` for Go).\n5. Select a buildpack based on your programming language.\n6. Enter a unique name, display name, and description for your test runner component.\n7. Click **Create** to finalize the creation of the test runner component.\n\n### Step 2: Build and Deploy the Test Runner Component\n1. In the left navigation menu, click **Build**.\n2. Click **Build Latest**.\n3. Navigate to **Deploy** on the left.\n4. Click **Deploy** in the **Set Up** card to deploy the test runner component. Use **Configure and Deploy** if you need to provide additional configurations or secrets.\n\n### Step 3: Execute the Tests\n1. After successfully deploying, click **Execute** in the left navigation menu.\n2. Select the desired environment from the environment list.\n3. Click **Run Now** to start the test execution. If you need to pass dynamic values as command-line arguments, click the drop-down next to **Run Now** and select **Run with Arguments**. Enter your arguments in the **Runtime Arguments** pane and click **Execute**.\n4. Once the tests have completed, you can view the results listed on the execution page. Click on a specific execution to see the detailed test results.\n\n### Additional Notes\n- The test runner can execute tests written in various programming languages or Postman Collections.\n- For Postman Collections, you can specify specific collections to run using the `-f` or `--files` argument.\n\nBy following these steps, you can effectively set up and execute integration tests on your API using the test runner in Choreo. For more detailed instructions, you can refer to the documentation [here](https://wso2.com/choreo/docs/testing/test-components-with-test-runner/#build-and-deploy-the-test-runner-component-to-execute-the-tests)."
